"","Hugo_Symbol","High","Low","pval","or","ci.up","ci.low","adjPval"
"1","TP53",136,85,8.53883536620376e-06,2.52145624314276,3.87093620956732,1.65186716042522,0.0584227115755661
"2","TRIM46",14,1,0.000847250611272442,14.0877532676006,599.563208497832,2.10334562155386,1
"3","MYO1G",1,12,0.00121614210294528,0.0747121477590388,0.513934255164987,0.00173549485218071,1
"4","RNF17",18,3,0.00122451532723706,6.10523507281448,32.8903199383915,1.74049196396256,1
"5","IQCH",10,0,0.00180254991353535,Inf,Inf,2.18744395785849,1
"6","TTC13",10,0,0.00180254991353535,Inf,Inf,2.18744395785849,1
"7","ZNF134",10,0,0.00180254991353535,Inf,Inf,2.18744395785849,1
"8","FBN3",28,9,0.0018306948179715,3.24279071352367,8.04015324982105,1.43760953600443,1
"9","LRP2BP",0,8,0.00289597561413544,0,0.541442115883442,0,1
"10","MRTFA",3,15,0.00296280469048633,0.177908184652887,0.643346720460688,0.0324798194555154,1
"11","CTNNA1",18,4,0.00365857591417243,4.55663654999341,18.8520781950901,1.46366919822819,1
"12","ESR1",2,12,0.00533808239403794,0.150021320857196,0.687368417854391,0.0160874236494011,1
"13","PDE6A",2,12,0.00533808239403794,0.150021320857196,0.687368417854391,0.0160874236494011,1
"14","AASDH",11,1,0.00584962903715892,10.8952851685007,472.408868237075,1.55642897331085,1
"15","RIMBP3",11,1,0.00584962903715892,10.8952851685007,472.408868237075,1.55642897331085,1
"16","BCL11B",0,7,0.00607070823925719,0,0.644253849053064,0,1
"17","CHIT1",0,7,0.00607070823925719,0,0.644253849053064,0,1
"18","IL13RA2",0,7,0.00607070823925719,0,0.644253849053064,0,1
"19","FAM200A",8,0,0.00743395125467739,Inf,Inf,1.65068493464236,1
"20","OLFM4",8,0,0.00743395125467739,Inf,Inf,1.65068493464236,1
"21","SETD3",8,0,0.00743395125467739,Inf,Inf,1.65068493464236,1
"22","RBM15",4,15,0.00849319969755596,0.238243080075997,0.766140841883681,0.0565411793374731,1
"23","DAPK1",7,20,0.00852261741921638,0.308435033434628,0.782070500519054,0.107536449931343,1
"24","CFAP46",1,9,0.00904391329257558,0.101200513834968,0.74236057226141,0.00229253703019884,1
"25","ING1",1,9,0.00904391329257558,0.101200513834968,0.74236057226141,0.00229253703019884,1
"26","WDR26",1,9,0.00904391329257558,0.101200513834968,0.74236057226141,0.00229253703019884,1
"27","PTPN23",3,13,0.00941380991744868,0.207525369465556,0.771802907000478,0.0373373669895818,1
"28","FZD2",2,11,0.0098079472253175,0.164538489265749,0.768605758323747,0.0175175249287515,1
"29","SYMPK",2,11,0.0098079472253175,0.164538489265749,0.768605758323747,0.0175175249287515,1
"30","USP15",2,11,0.0098079472253175,0.164538489265749,0.768605758323747,0.0175175249287515,1
